,日期,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0,2012-01-02,2412,中華電,3894598,1549,388837800,100.0,100.0,99.6,99.7,0.3,99.6,427.0,99.7,65.0,16.21
1,2012-01-03,2412,中華電,24229083,5334,2438279300,100.5,101.0,100.0,100.0,0.3,100.0,1922.0,100.5,842.0,16.26
2,2012-01-04,2412,中華電,11281451,4230,1127676600,100.5,100.5,99.8,100.0,0.0,99.9,18.0,100.0,1081.0,16.26
3,2012-01-05,2412,中華電,17000106,5328,1694394200,100.0,100.0,99.5,100.0,0.0,99.8,95.0,100.0,1785.0,16.26
4,2012-01-06,2412,中華電,19703467,4744,1966597100,100.0,100.0,99.5,99.9,0.1,99.8,11.0,99.9,113.0,16.24
5,2012-01-09,2412,中華電,22878415,8827,2262554717,99.5,99.5,98.6,99.0,0.9,98.9,299.0,99.0,428.0,16.1
6,2012-01-10,2412,中華電,19757720,7738,1949432780,99.0,99.0,98.4,98.5,0.5,98.5,2547.0,98.6,127.0,16.02
7,2012-01-11,2412,中華電,23863700,7964,2353917882,98.6,99.0,98.4,99.0,0.5,98.9,30.0,99.0,524.0,16.1
8,2012-01-12,2412,中華電,19446087,4805,1923172713,98.8,99.2,98.7,99.0,0.0,98.9,221.0,99.0,52.0,16.1
9,2012-01-13,2412,中華電,21351802,5083,2113326098,99.1,99.4,98.8,99.0,0.0,98.9,51.0,99.0,629.0,16.1
10,2012-01-16,2412,中華電,8739138,2755,864482313,99.2,99.2,98.6,98.9,0.1,98.8,252.0,98.9,63.0,16.08
11,2012-01-17,2412,中華電,51502104,20236,5026794592,98.6,98.8,96.9,97.0,1.9,97.0,247.0,97.1,65.0,15.77
12,2012-01-18,2412,中華電,59113429,23033,5659729900,96.6,96.6,95.5,95.9,1.1,95.8,34.0,95.9,925.0,15.59
13,2012-01-30,2412,中華電,61182895,21613,5800972328,95.1,95.3,94.5,94.9,1.0,94.8,61.0,94.9,288.0,15.43
14,2012-01-31,2412,中華電,36050280,13373,3447141630,94.8,96.4,94.8,96.2,1.3,96.0,17.0,96.2,149.0,15.64
15,2012-02-01,2412,中華電,16346407,7175,1572493279,96.2,96.5,95.7,96.5,0.3,96.4,73.0,96.5,257.0,15.69
16,2012-02-02,2412,中華電,23391675,9187,2247245137,96.8,96.8,95.9,96.1,0.4,96.0,421.0,96.1,313.0,15.63
17,2012-02-03,2412,中華電,27032901,10360,2581103696,95.9,95.9,95.3,95.5,0.6,95.5,101.0,95.6,258.0,15.53
18,2012-02-04,2412,中華電,13166742,5779,1258800632,95.7,96.1,95.2,95.7,0.2,95.7,48.0,95.8,35.0,15.56
19,2012-02-06,2412,中華電,20435597,7109,1952238180,96.0,96.0,95.3,95.7,0.0,95.6,174.0,95.7,144.0,15.56
20,2012-02-07,2412,中華電,18078766,6192,1726235246,95.5,95.7,95.3,95.3,0.4,95.3,1336.0,95.4,2.0,15.5
21,2012-02-08,2412,中華電,19578581,8070,1873507539,95.3,96.2,95.3,95.8,0.5,95.7,245.0,95.8,117.0,15.58
22,2012-02-09,2412,中華電,24561811,11598,2342970033,95.6,95.6,95.2,95.3,0.5,95.2,1185.0,95.3,191.0,15.5
23,2012-02-10,2412,中華電,29148516,13350,2764240420,95.2,95.2,94.6,94.6,0.7,94.6,666.0,94.7,39.0,15.38
24,2012-02-13,2412,中華電,30025841,14150,2813323285,94.1,94.1,93.3,93.6,1.0,93.5,3501.0,93.6,307.0,15.22
25,2012-02-14,2412,中華電,19162054,9722,1797972448,93.6,94.0,93.4,93.9,0.3,93.9,6.0,94.0,1940.0,15.27
26,2012-02-15,2412,中華電,21040336,9555,1971813493,93.8,94.0,93.5,93.9,0.0,93.9,18.0,94.0,3977.0,15.27
27,2012-02-16,2412,中華電,18171411,7904,1709892402,93.9,95.0,93.6,94.5,0.6,94.5,356.0,94.6,82.0,15.37
28,2012-02-17,2412,中華電,19709000,7486,1869647800,94.5,95.4,94.5,94.6,0.1,94.6,1008.0,94.7,43.0,15.38
29,2012-02-20,2412,中華電,14929411,6420,1407435032,94.6,94.8,93.9,94.6,0.0,94.5,49.0,94.6,211.0,15.38
30,2012-02-21,2412,中華電,16221714,6817,1528896984,94.6,94.6,94.0,94.6,0.0,94.5,213.0,94.6,740.0,15.38
31,2012-02-22,2412,中華電,42448097,19128,3946546604,93.5,93.5,92.3,92.8,1.8,92.8,153.0,92.9,166.0,15.09
32,2012-02-23,2412,中華電,48017163,23671,4406301196,92.0,92.1,91.5,91.5,1.3,91.4,941.0,91.5,2141.0,14.88
33,2012-02-24,2412,中華電,73400132,29448,6616601026,90.6,90.6,90.0,90.1,1.4,90.1,358.0,90.2,2392.0,14.65
34,2012-02-29,2412,中華電,57774525,22299,5232487875,90.0,91.1,90.0,90.4,0.3,90.4,253.0,90.5,39.0,14.7
35,2012-03-01,2412,中華電,32050836,14358,2925297258,90.4,92.0,90.4,91.8,1.4,91.7,1315.0,91.8,4.0,14.93
36,2012-03-02,2412,中華電,15619856,7623,1438513499,92.5,92.5,91.8,92.2,0.4,92.1,606.0,92.2,11.0,14.99
37,2012-03-03,2412,中華電,11172314,5825,1031803202,92.2,92.8,91.7,92.7,0.5,92.7,131.0,92.8,449.0,15.07
38,2012-03-05,2412,中華電,18202883,7327,1680703044,92.5,92.7,92.0,92.1,0.6,92.1,49.0,92.2,198.0,14.98
39,2012-03-06,2412,中華電,18941020,7580,1739493441,92.0,92.7,91.4,92.5,0.4,92.5,1687.0,92.6,740.0,15.04
40,2012-03-07,2412,中華電,16446978,5586,1520102857,92.0,92.8,91.9,92.0,0.5,92.0,769.0,92.1,7.0,14.96
41,2012-03-08,2412,中華電,10073633,5464,924339836,92.0,92.1,91.5,91.6,0.4,91.6,1084.0,91.7,37.0,14.89
42,2012-03-09,2412,中華電,12529850,5224,1144447832,91.5,91.5,91.1,91.3,0.3,91.2,1291.0,91.3,12.0,14.85
43,2012-03-12,2412,中華電,11074096,5565,1009117518,91.3,91.4,91.0,91.0,0.3,91.0,27.0,91.1,105.0,14.8
44,2012-03-13,2412,中華電,9595789,5078,872825019,90.7,91.4,90.6,91.4,0.4,91.3,15.0,91.4,25.0,14.86
45,2012-03-14,2412,中華電,7628580,4219,700802055,92.0,92.0,91.7,91.8,0.4,91.8,380.0,91.9,29.0,14.93
46,2012-03-15,2412,中華電,12832389,5386,1169323451,91.5,91.5,91.0,91.0,0.8,91.0,1294.0,91.1,182.0,14.8
47,2012-03-16,2412,中華電,18259852,8934,1654930232,91.0,91.0,90.5,90.5,0.5,90.5,61.0,90.6,435.0,14.72
48,2012-03-19,2412,中華電,6883723,3774,624723493,91.3,91.3,90.5,90.9,0.4,90.8,38.0,90.9,86.0,14.78
